title,title_normalized,colonfix,single_resource,ignore,checked,multiple_resource,url,id
"Palmyrena: City, Hinterland and Caravan trade between Occident and Orient",palmyrena: city hinterland and caravan trade between occident and orient,palmyrena,false,false,false,false,http://ancientworldonline.blogspot.com/2013/04/palmyrena-city-hinterland-and-caravan.html,"tag:blogger.com,1999:blog-116259103207720939.post-6676043543160525107"
Open Access Journal: Canadio-Byzantina: A newsletter published by the Canadian Committee of Byzantinists,open access journal: canadiobyzantina: a newsletter published by the canadian committee of byzantinists,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2013/04/open-access-journal-canadio-byzantina.html,"tag:blogger.com,1999:blog-116259103207720939.post-8310687495533872421"
Open Access Journal: LionBytes [Newsletter of the Nemea Center for Classical Archaeology],open access journal: lionbytes newsletter of the nemea center for classical archaeology,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2013/04/open-access-journal-lionbytes.html,"tag:blogger.com,1999:blog-116259103207720939.post-3419265330100012766"
Open Access Classics publications of St. Petersburg State University,open access classics publications of st petersburg state university,,false,false,true,true,http://ancientworldonline.blogspot.com/2013/04/open-access-classics-publications-of-st.html,"tag:blogger.com,1999:blog-116259103207720939.post-5306266642631865249"
Open Access Journal: МНЕМОН: Исследования и публикации по истории античного мира,open access journal: мнемон: исследования и публикации по истории античного мира,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2013/04/open-access-journal_26.html,"tag:blogger.com,1999:blog-116259103207720939.post-6726021687004291270"
Spartokos a lu : Black sea archaeology online,spartokos a lu : black sea archaeology online,spartokos a lu,false,false,false,false,http://ancientworldonline.blogspot.com/2011/03/black-sea-archaeology-online.html,"tag:blogger.com,1999:blog-116259103207720939.post-5531109044225783846"
Open Access Journal: エジプト学研究 - The Journal of Egyptian Studies (Ejiputogaku kenkyū),open access journal: エジプト学研究 the journal of egyptian studies ejiputogaku kenkyū,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2013/04/open-access-journal-journal-of-egyptian.html,"tag:blogger.com,1999:blog-116259103207720939.post-1134118816212782401"
PECL: Prototype d'Encyclopédie Céramologique en Ligne,pecl: prototype dencyclopédie céramologique en ligne,pecl,false,false,true,false,http://ancientworldonline.blogspot.com/2013/04/pecl-prototype-dencyclopedie.html,"tag:blogger.com,1999:blog-116259103207720939.post-2639120686001601174"
Database: Sculptures de la Gaule Romaine,database: sculptures de la gaule romaine,database,true,false,true,false,http://ancientworldonline.blogspot.com/2013/04/database-sculptures-de-la-gaule-romaine.html,"tag:blogger.com,1999:blog-116259103207720939.post-9132591190339410781"
Library of Ancient Texts Online (LATO),library of ancient texts online lato,,false,false,false,false,http://ancientworldonline.blogspot.com/2009/12/library-of-ancient-texts-online-lato.html,"tag:blogger.com,1999:blog-116259103207720939.post-5331243355057705816"
Open Access Journal: Theban Mapping Project Progress Reports,open access journal: theban mapping project progress reports,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2013/04/open-access-journal-theban-mapping.html,"tag:blogger.com,1999:blog-116259103207720939.post-5810363131956517800"
Roundup of Past Oriented Library Acquisitions Lists Online or by Email,roundup of past oriented library acquisitions lists online or by email,,false,false,true,true,http://ancientworldonline.blogspot.com/2010/09/library-acquisitions-lists-online.html,"tag:blogger.com,1999:blog-116259103207720939.post-4823805536985361557"
Mapping the Jewish Communities of the Byzantine Empire,mapping the jewish communities of the byzantine empire,,false,false,false,false,http://ancientworldonline.blogspot.com/2013/04/mapping-jewish-communities-of-byzantine.html,"tag:blogger.com,1999:blog-116259103207720939.post-2719642833015855442"
Open Access Journal: Archaeology in the United Arab Emirates,open access journal: archaeology in the united arab emirates,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2011/04/open-access-journal-archaeology-in.html,"tag:blogger.com,1999:blog-116259103207720939.post-3092642043023646535"
Open Access Journal: Revue des études anciennes,open access journal: revue des études anciennes,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2010/01/open-access-journal-revue-des-etudes.html,"tag:blogger.com,1999:blog-116259103207720939.post-8205805869248069546"
Open Access Journal: Etruscan Studies,open access journal: etruscan studies,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2009/12/opoen-access-journal-etruscan-studies.html,"tag:blogger.com,1999:blog-116259103207720939.post-5031861448644577716"
Agade Mailing List Archive on Twitter,agade mailing list archive on twitter,,false,false,false,false,http://ancientworldonline.blogspot.com/2013/04/agade-mailing-list-archive-on-twitter.html,"tag:blogger.com,1999:blog-116259103207720939.post-6790999364462663559"
Death on the Nile,death on the nile,,false,false,false,false,http://ancientworldonline.blogspot.com/2013/04/death-on-nile.html,"tag:blogger.com,1999:blog-116259103207720939.post-943782194504795219"
Studia Orontica Server Problem,studia orontica server problem,,false,true,true,false,http://ancientworldonline.blogspot.com/2013/04/studia-orontca-server-problem.html,"tag:blogger.com,1999:blog-116259103207720939.post-263766856566022295"
Digital Turfan Archive,digital turfan archive,,false,false,false,false,http://ancientworldonline.blogspot.com/2013/04/digital-turfan-archive.html,"tag:blogger.com,1999:blog-116259103207720939.post-6060217066727594226"
Early Archives Royales de Mari Online,early archives royales de mari online,,false,false,false,false,http://ancientworldonline.blogspot.com/2013/04/early-archives-royales-de-mari-online.html,"tag:blogger.com,1999:blog-116259103207720939.post-8149380779940100819"
Miho Museum,miho museum,,false,false,false,false,http://ancientworldonline.blogspot.com/2013/04/miho-museum.html,"tag:blogger.com,1999:blog-116259103207720939.post-2941939698440175554"
Open Access Journal: Rursus,open access journal: rursus,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2011/12/open-access-journal-rursus.html,"tag:blogger.com,1999:blog-116259103207720939.post-4359145536672176349"
Open Access Journal: Adalya,open access journal: adalya,open access journal,true,false,true,false,http://ancientworldonline.blogspot.com/2011/03/open-access-journal-adalya.html,"tag:blogger.com,1999:blog-116259103207720939.post-2388748794078035776"
Assyriological Abbreviations List: Archiv für Orientforschung,assyriological abbreviations list: archiv für orientforschung,assyriological abbreviations list,true,false,true,false,http://ancientworldonline.blogspot.com/2013/04/assyriological-abbreviations-list.html,"tag:blogger.com,1999:blog-116259103207720939.post-1774949851153018264"
Open Access Publications of the Editorial Committee of the Swedish Institute at Athens and Rome,open access publications of the editorial committee of the swedish institute at athens and rome,,false,false,true,true,http://ancientworldonline.blogspot.com/2013/04/open-access-publications-of-editorial.html,"tag:blogger.com,1999:blog-116259103207720939.post-7247079982494629884"
